Camera ID,Camera Serial Number,Photo of Camera Trap POV,Photo of Camera Trap Mount,Record your current location,_Record your current location_latitude,_Record your current location_longitude,_Record your current location_altitude,_Record your current location_precision,Additional Comments
J-RAN-01-R11,HLPXHO04101282,1641745402779.jpg,1641745417871.jpg,7.2666029 -81.8183219 25.91278076171875 4.948,7.2666029,-81.8183219,25.91278076,4.948,Facing bromeliad patch
J-RAN-02-R11,https://inventoryeas.ab.mpg.de/hardware/615,1641420001623.jpg,1641420016238.jpg,7.2680553 -81.8185825 19.74853515625 4.871,7.2680553,-81.8185825,19.74853516,4.871,
J-RAN-03-R11,https://inventoryeas.ab.mpg.de/hardware/632,1641418940980.jpg,1641418955015.jpg,7.2683844 -81.8189201 39.21435546875 4.847,7.2683844,-81.8189201,39.21435547,4.847,
J-RAN-04-R11,HLPXGN03059713,1641762267592.jpg,1641762280443.jpg,7.2713851 -81.8206352 102.62376485608023 4.803,7.2713851,-81.8206352,102.6237649,4.803,North of stream near big anacardiums
J-RAN-05-R11,HLPXHO04105030,1641765424054.jpg,1641765439510.jpg,7.271539 -81.8210638 38.87721845603498 4.929,7.271539,-81.8210638,38.87721846,4.929,North of stream by fork
J-RAN-07-R11,HLPXHO05110194,1641478653435.jpg,1641478674849.jpg,7.2724949 -81.8218345 41.8121337890625 4.699,7.2724949,-81.8218345,41.81213379,4.699,
J-RAN-08-R11,HLPXHO05110187,1641481402747.jpg,1641481426044.jpg,7.2731823 -81.821971 47.92303466796875 4.887,7.2731823,-81.821971,47.92303467,4.887,Upseasonal water runoff channel on slope
J-RAN-09-R11,HLPXHO04101280,1641764167194.jpg,1641764176822.jpg,7.2704768 -81.8204385 88.57470703125 4.978,7.2704768,-81.8204385,88.57470703,4.978,Below a Panama tree
J-RAN-10-R11,HLPXHO04105010,1641760623399.jpg,1641760598558.jpg,7.2714585 -81.8201882 99.56611907895089 4.978,7.2714585,-81.8201882,99.56611908,4.978,Up steep hill south of furthest stream cam
J-RAN-11-R11,HLPXGN03060617,1641831868771.jpg,1641831881525.jpg,7.2709012 -81.8205656 29.12359619140625 4.989,7.2709012,-81.8205656,29.12359619,4.989,
J-RAN-12-R11,HLPXHO04102363,1641683178630.jpg,1641683233092.jpg,7.2681365 -81.8185544 61.75126821379729 4.781,7.2681365,-81.8185544,61.75126821,4.781,
J-STREAM-01-R11,HLPXHO04105044,1641486923050.jpg,1641486935829.jpg,7.2662702 -81.8183053 42.27545166015625 4.929,7.2662702,-81.8183053,42.27545166,4.929,Alternative location from r10
J-STREAM-02-R11,HLPXHO04102092,1641419590361.jpg,1641419608893.jpg,7.2682161 -81.8188891 18.1513671875 4.648,7.2682161,-81.8188891,18.15136719,4.648,
J-STREAM-03-R11,https://inventoryeas.ab.mpg.de/hardware/616,1641418192131.jpg,1641418200432.jpg,7.2681819 -81.8190521 39.82769775390625 4.753,7.2681819,-81.8190521,39.82769775,4.753,Camera label is wrong is J-RAN-03-R11
J-STREAM-04-R11,HLPXGN03058399,1641412931281.jpg,1641412985881.jpg,7.2708684 -81.8206853 58.68060302734375 3.959,7.2708684,-81.8206853,58.68060303,3.959,
J-STREAM-05-R11,https://inventoryeas.ab.mpg.de/hardware/621,1641414416753.jpg,1641414426364.jpg,7.2710563 -81.8204645 49.87646484375 4.716,7.2710563,-81.8204645,49.87646484,4.716,
J-STREAM-06-R11,HLPXGN03058938,1641484133885.jpg,1641484147397.jpg,7.2720192 -81.8220068 38.9375 4.819,7.2720192,-81.8220068,38.9375,4.819,
J-STREAM-07-R11,https://inventoryeas.ab.mpg.de/hardware/624,1641478018328.jpg,1641478033594.jpg,7.2723318 -81.8220635 41.437744140625 4.538,7.2723318,-81.8220635,41.43774414,4.538,
J-STREAM-08-R11,HLPXGN03060940,1641480534052.jpg,1641480594609.jpg,7.2734519 -81.8219956 100.7003173828125 4.812,7.2734519,-81.8219956,100.7003174,4.812,Older rechargeable  batteries
J-STREAM-09-R11,HLPXHO04101786,1641411733582.jpg,,7.2708619 -81.8208376 66.11810302734375 4.951,7.2708619,-81.8208376,66.11810303,4.951,
J-STREAM-10-R11,https://inventoryeas.ab.mpg.de/hardware/618,1641414998787.jpg,1641415008613.jpg,7.2711962 -81.8203392 49.53045654296875 4.523,7.2711962,-81.8203392,49.53045654,4.523,
J-STREAM-11-R11,https://inventoryeas.ab.mpg.de/hardware/625,1641413816386.jpg,1641413827483.jpg,7.2707517 -81.8205548 62.8875732421875 4.891,7.2707517,-81.8205548,62.88757324,4.891,
J-STREAM-12-R11,https://inventoryeas.ab.mpg.de/hardware/629,1641420887211.jpg,1641420903001.jpg,7.2682581 -81.8186619 43.1810302734375 4.552,7.2682581,-81.8186619,43.18103027,4.552,
