locationfactor,longitude,latitude
CEBUS-01,-81.82116302,7.270791968
CEBUS-02,-81.82111667,7.270833375
CEBUS-03,-81.82111667,7.270833375
CEBUS-04,-81.820995,7.270903
CEBUS-05,-81.820493,7.26988
CEBUS-06,-81.82043798,7.269686982
CEBUS-07,-81.819583,7.268823
CEBUS-08,-81.81940801,7.26828997
CEBUS-09,-81.81942302,7.268271027
CEBUS-10,-81.819879,7.268845
JIC-STREAM-CAMP-NO-T-01,-81.802552,7.286901
JIC-STREAM-CAMP-NO-T-02,-81.802422,7.286715
JIC-STREAM-DISC-T-1,-81.819218,7.26826
JIC-STREAM-DISC-T-2,-81.819033,7.268261
JIC-STREAM-DISC-T-3,-81.819033,7.268261
SURVEY-CEBUS-01-01,-81.79094701,7.290630005
SURVEY-CEBUS-01-02,-81.79094701,7.290630005
SURVEY-CEBUS-02-01,-81.802393,7.240663972
SURVEY-CEBUS-02-02,-81.802393,7.240663972
SURVEY-CEBUS-03-01,-81.80273004,7.228510967
SURVEY-CEBUS-03-02,-81.80273004,7.228510967
SURVEY-CEBUS-03-03,-81.80259903,7.228714982
SURVEY-CEBUS-03-04,-81.80259903,7.228710959
SURVEY-CEBUS-04-01,-81.80336304,7.230945993
SURVEY-CEBUS-05-01,-81.80541074,7.289691987
SURVEY-CEBUS-05-02,-81.805409,7.28969
SURVEY-CEBUS-06-01,-81.80237699,7.227693982
SURVEY-CEBUS-06-02,-81.80229904,7.227863967
SURVEY-CEBUS-07-03,-81.82116302,7.270791968
SURVEY-CEBUS-08-01,-81.82196902,7.271729987
SURVEY-CEBUS-09-01,-81.79079102,7.257485026
SURVEY-CEBUS-09-02,-81.79079102,7.257485026
SURVEY-CEBUS-10-01,-81.80575901,7.289567012
SURVEY-CEBUS-15-01,-81.81955696,7.268936969
SURVEY-CEBUS-15-02,-81.819549,7.269062027
SURVEY-CEBUS-15-03,-81.81992803,7.268739995
SURVEY-CEBUS-15-04,-81.819543,7.268963
SURVEY-CEBUS-16-01,-81.82038803,7.269893009
SURVEY-CEBUS-16-02,-81.82038803,7.269893009
SURVEY-CEBUS-17-03,-81.819474,7.26818
SURVEY-CEBUS-18-01,-81.78624602,7.265429981
SURVEY-CEBUS-19-01,-81.79746285,7.290391037
SURVEY-CEBUS-20-01,-81.80344904,7.290679961
SURVEY-CEBUS-22-01,-81.80043197,7.244016984
SURVEY-CEBUS-23-01,-81.81262999,7.289001988
SURVEY-CEBUS-24-01,-81.820995,7.270903
Coiba-2-01,-81.77025,7.28475
Coiba-2-02,-81.80078,7.247194
Coiba-2-03,-81.79264,7.256278
Coiba-2-07,-81.78675,7.265417
Coiba-2-11,-81.78519,7.275583
Coiba-2-12,-81.814,7.28675
Coiba-2-13,-81.80611,7.283333
Coiba-2-14,-81.79683,7.288361
Coiba-2-15,-81.78794,7.283167
Coiba-2-16,-81.77911,7.283444
JicaronForest,-81.80806,7.281028
